Timestamp,Peak
2022-09-13 11:11:03.375,-77.74
2022-09-13 11:11:03.875,-77.51
2022-09-13 11:11:04.376,-77.74
2022-09-13 11:11:04.876,-77.8
2022-09-13 11:11:05.377,-77.93
2022-09-13 11:11:05.878,-77.4
2022-09-13 11:11:06.378,-77.48
2022-09-13 11:11:06.878,-77.6
2022-09-13 11:11:07.378,-77.72
2022-09-13 11:11:07.879,-77.84
2022-09-13 11:11:08.379,-77.63
2022-09-13 11:11:08.879,-78.08
2022-09-13 11:11:09.379,-77.29
2022-09-13 11:11:09.879,-78
2022-09-13 11:11:10.380,-77.4
2022-09-13 11:11:10.880,-78.1
2022-09-13 11:11:11.381,-77.75
2022-09-13 11:11:11.881,-78.07
2022-09-13 11:11:12.381,-77.93
2022-09-13 11:11:12.883,-77.68
2022-09-13 11:11:13.382,-78.03
2022-09-13 11:11:13.882,-78.02
2022-09-13 11:11:14.382,-77.37
2022-09-13 11:11:14.885,-77.67
2022-09-13 11:11:15.383,-77.7
2022-09-13 11:11:15.883,-78.03
2022-09-13 11:11:16.384,-77.86
2022-09-13 11:11:16.884,-77.94
2022-09-13 11:11:17.385,-77.66
2022-09-13 11:11:17.885,-77.99
2022-09-13 11:11:18.385,-77.46
2022-09-13 11:11:18.885,-77.4
2022-09-13 11:11:19.386,-77.49
2022-09-13 11:11:19.886,-77.86
2022-09-13 11:11:20.387,-77.89
2022-09-13 11:11:20.887,-77.88
2022-09-13 11:11:21.387,-77.43
2022-09-13 11:11:21.888,-77.46
2022-09-13 11:11:22.389,-77.7
2022-09-13 11:11:22.889,-77.5
2022-09-13 11:11:23.389,-78.03
2022-09-13 11:11:23.889,-77.79
2022-09-13 11:11:24.390,-77.85
2022-09-13 11:11:24.890,-77.88
2022-09-13 11:11:25.391,-77.87
2022-09-13 11:11:25.891,-77.24
2022-09-13 11:11:26.392,-77.66
2022-09-13 11:11:26.891,-78.04
2022-09-13 11:11:27.392,-77.54
